"OBJECTID","GISPROPNUM","DEPARTMENT,C,25","ACRES","JURISDICTION","NAME","SHAPE_STA","SHAPE_STL","PRM"
6565,"X107","X-15",0.13600000000,"DPR","Hawkins Park",6304.41308594000,321.93300164300,"Kristine Zagorski-Kelly"
6566,"B255O","B-07",0.05800000000,"CDOT","Park",2497.34846497000,229.51281786000,"Macceau Medozile"
6567,"B366","B-05",0.13700000000,"DPR/NYCHA","Duke Park",5701.06532288000,311.54932665700,"Emilio Llopiz"
6568,"B367","B-16",0.91800000000,"DPR/NYCHA","Livonia Park",40763.24621580000,807.61414441400,"Emilio Llopiz"
6569,"M008","M-05",9.60300000000,"DPR","Bryant Park",418962.78692600000,2756.41353810000,"Paul Evans"
6570,"M028","M-12",184.14300000000,"DPR","Fort Washington Park",7041926.11026000000,93337.06009610000,"Jennifer Hoppa"
6571,"M070","M-08",1.23900000000,"DPR/CDOT","Queensboro Oval",55203.81973270000,948.92497335100,"Mark Vaccaro"
6572,"M321","M-03",0.82800000000,"DOE","Lower East Side Playground",36077.56765750000,764.02121561400,"Terese Flores"
6573,"M367","M-11",0.05200000000,"DPR","Peaceful Valley Garden",2289.28276062000,230.21090099700,"Kieishsha Garnes"
6574,"R002","R-03",0.05400000000,"CDOT","Pleasant Plains Plaza",2383.32141876000,330.67861803700,"Bill LaCurtis"
6575,"R004","R-01",0.15900000000,"CDOT","Barrett Triangle",6969.15930176000,462.95927651300,"Tony Arcamone"
6576,"R010","R-02",0.28000000000,"CDOT","Staats Circle",13918.31976320000,613.58491786800,"Bonnie Williams"
6577,"R032","R-01",0.76500000000,"DPR","Maple Woods",33363.59559630000,833.12256730000,"Tony Arcamone"
6578,"R142","R-01",107.57600000000,"DPR","Mariners Marsh Park",4538661.03911000000,10054.41240080000,"Tony Arcamone"
6579,"R164","R-01",0.20600000000,"DPR","Targee Street Triangle",8780.77331543000,660.33335278500,"Tony Arcamone"
6580,"QT19","Q-08",0.00000000000,"CDOT","Abe Wolfson Triangle",20587.45324710000,649.98699118300,"Vacant"
6581,"M080","M-03",0.37600000000,"DPR","Schiff Mall",16410.04394530000,2804.57970682000,"Terese Flores"
6582,"Q473","Q-04",0.20500000000,"DPR","Sparrow's Nest Community Garden",10359.20660400000,604.88730688900,"Eric Goetz"
6583,"X053","X-03",0.63600000000,"DPR","O'Neill Triangle",27720.59780880000,912.05515466400,"Christopher Acosta"
6584,"M052","M-05",6.23400000000,"DPR","Madison Square Park",271785.79686000000,2157.99045299000,"Paul Evans"
6585,"X261","X-04",1.88000000000,"DPR","West Bronx Recreation Center",99906.91197200000,2020.95696816000,"Eduardo Hernandez"
6586,"X034","X-04",15.04900000000,"DPR","Mullaly Park",655558.90412900000,4660.18556120000,"Eduardo Hernandez"
6587,"M010","M-13",840.01000000000,"DPR","Central Park",36567678.66980000000,33356.54438230000,"Christopher Nolan"
6588,"B487","B-16",0.05800000000,"DPR","Preston Community Garden",2591.96998596000,298.33526012100,"Emilio Llopiz"
6589,"X339","X-03",0.13100000000,"DPR","Angie Lee Gonzales Garden",4680.77604675000,297.25422090100,"Christopher Acosta"
6590,"X252A","X-06",0.00000000000,"DPR","Charles W Cooke Farm Garden",19320.56918330000,623.69376464500,"Christopher Acosta"
6591,"X252B","X-06",0.00000000000,"DPR","Farm in the Bronx",8193.23219299000,415.22352347100,"Christopher Acosta"
6592,"X252","X-06",2.50000000000,"DPR","Bathgate Playground",112824.65246600000,1626.60949126000,"Christopher Acosta"
6593,"X293","X-06",0.33000000000,"DPR","Garden Of Happiness",15302.81262210000,505.82430419200,"Christopher Acosta"
6594,"X146","X-01",0.82000000000,"DPR","Flynn Playground",36078.54678340000,764.32798316000,"Eduardo Hernandez"
6595,"X010A","X-06",15.00000000000,"DPR","Tremont Park",654732.61788900000,3289.02843828000,"Christopher Acosta"
6596,"M037","M-12A",130.10000000000,"DPR","Highbridge Park",5561682.44859000000,33445.47386970000,"Jennifer Hoppa"
6597,"M131","M-10",0.29000000000,"DPR","Hansborough Recreation Center",12614.20837400000,452.47801406700,"Kieishsha Garnes"
6598,"B470","B-04",0.17200000000,"DPR","Granite St Block Association",7750.84014893000,357.10089453900,"Emilio Llopiz"
6599,"B495","B-03",0.03900000000,"DPR","Vernon/Throop Ave Block Association",1922.96302795000,219.55039606800,"C. Ronald Taylor"
6600,"X298","X-04",0.18300000000,"DPR","Garden Of Life",8015.31039429000,358.83796016200,"Eduardo Hernandez"
6601,"X271A","X-04",0.00000000000,"DPR","Dred Scott Bird Sanctuary",20625.46012880000,611.70010501200,"Eduardo Hernandez"
6602,"MT02","M-11",0.00000000000,"DCAS","Arsenal North",41652.04237370000,816.41124461200,"Kieishsha Garnes"
6603,"B498","B-03",0.04100000000,"DPR","Louis Pl Friends",1811.16201782000,237.23660421100,"C. Ronald Taylor"
